name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,envs,duration_s,warmup_s,reset_events_per_env,ever_reset_frac,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
right_0.3,0.0,-0.3,0.0,0.3,4,1.0,0.2,0.0,0.0,0.6032235622406006,0.20167401432991028,-0.05846452713012695,0.051809531450271604,-0.06513978242874145,0.05846452713012695,0.35180957317352296,0.35909810066223147,0.09803351163864135,-0.051809531450271604,0.05846452713012695,0.6687476158142089,0.06979967355728149,0.15337420701980592,4.710907363891602,0.061344027519226074,-0.17269843816757202,0.5745040907301078
right_0.6,0.0,-0.6,0.0,0.6,4,1.0,0.2,0.0,0.0,0.8406866788864136,0.27690497040748596,-0.06388822197914124,-0.06138603091239929,-0.0876920461654663,0.06388822197914124,0.5386138916015625,0.5435835838317871,0.10933287143707275,0.06138603091239929,0.06388822197914124,0.666859483718872,0.07091268301010131,0.16674835681915284,4.800265121459961,0.05628640055656433,0.10231005152066548,0.2923664909954511
right_1.0,0.0,-1.0,0.0,1.0,4,1.0,0.2,0.0,0.0,1.2185288667678833,0.428644597530365,-0.07963838577270507,-0.16835283041000365,-0.11243185997009278,0.07963838577270507,0.8316473960876465,0.8364484786987305,0.1267707109451294,0.16835283041000365,0.07963838577270507,0.6632082462310791,0.08377400636672974,0.1855606198310852,5.024388122558594,0.048553431034088136,0.16835283041000365,0.05710477830715664
diag_fl_0.7,0.5,0.5,0.0,0.7071067811865476,4,1.0,0.2,0.0,0.0,0.647098958492279,0.38154923915863037,0.09602704644203186,0.33865954875946047,0.051155805587768555,0.40397305488586427,0.1613405704498291,0.44219241142272947,0.13704773187637329,0.30736982822418213,0.17205861806869507,0.662354850769043,0.09762517809867859,0.18379099369049073,6.778825378417968,0.05216689705848694,0.4346865797389269,0.4243210834157157
diag_fr_0.7,0.5,-0.5,0.0,0.7071067811865476,4,1.0,0.2,0.0,0.0,0.9129438996315002,0.21245601773262024,0.15413657426834107,0.023092512786388398,-0.06357006430625915,0.3458634614944458,0.5230922698974609,0.6283368110656739,0.09915152192115784,0.09266215562820435,0.12531986236572265,0.666691780090332,0.09584639072418213,0.16001104116439818,5.620987319946289,0.0470521867275238,0.131044077208133,0.19818532726762653
diag_bl_0.7,-0.5,0.5,0.0,0.7071067811865476,4,1.0,0.2,0.0,0.0,0.5562157034873962,0.3509976267814636,-0.25028841495513915,0.3487257957458496,0.05960710644721985,0.24971163272857666,0.1512742042541504,0.3038808822631836,0.11140373945236207,0.4235671043395996,0.09289873838424682,0.6650642395019531,0.06933684945106507,0.19693065881729127,5.600952911376953,0.05909979939460754,0.5990143435321615,0.6576926624758276
diag_br_0.7,-0.5,-0.5,0.0,0.7071067811865476,4,1.0,0.2,0.0,0.0,0.8411057591438293,0.2799406051635742,-0.2771270513534546,-0.04453146755695343,-0.1035041093826294,0.2228729248046875,0.45546860694885255,0.5093545913696289,0.11228426694869995,0.2274470090866089,0.16446996927261354,0.6664257526397706,0.07342884540557862,0.17026361227035522,5.438954925537109,0.052924448251724245,0.32165864497147884,0.3368224219264289
diag_fl_1.0,0.7071067811865476,0.7071067811865476,0.0,1.0000000000000002,4,1.0,0.2,0.0,0.0,0.9129393696784973,0.3534458577632904,0.18635797500610352,0.356433629989624,0.024286068975925446,0.5207489490509033,0.35067319869995117,0.6307491779327392,0.12312594652175904,0.38381156921386717,0.1202616810798645,0.6586997985839844,0.10549184083938598,0.19638015031814576,7.200130462646484,0.04259803891181946,0.38381156921386705,0.19166272415724617
diag_fr_1.0,0.7071067811865476,-0.7071067811865476,0.0,1.0000000000000002,4,1.0,0.2,0.0,0.0,1.2212605476379395,0.3093229830265045,0.15322377681732177,-0.01436525136232376,-0.07596861124038697,0.5538829803466797,0.6927413463592529,0.888939380645752,0.10863970518112183,0.11850330829620362,0.104911470413208,0.6632767677307129,0.10634851455688477,0.18125041723251342,6.423867034912109,0.03575978875160217,0.11850330829620359,0.04043485040758049
diag_bl_1.0,-0.7071067811865476,0.7071067811865476,0.0,1.0000000000000002,4,1.0,0.2,0.0,0.0,0.858406126499176,0.4199815094470978,-0.2871452569961548,0.39162349700927734,0.06165340542793274,0.41996164321899415,0.3154832601547241,0.5321290016174316,0.14513936042785644,0.47996206283569337,0.09398090839385986,0.6648693561553956,0.06892521977424622,0.21674070358276368,6.018634414672851,0.04724656939506531,0.47996206283569326,0.296144776856825
