name,cmd_vx,cmd_vy,cmd_wz,cmd_xy_speed,steps,warmup_steps,duration_s,warmup_s,envs,reset_events_per_env,ever_reset_frac,max_xy_err,max_yaw_err,vx,vy,wz,abs_vx_err,abs_vy_err,xy_err,yaw_err,along,orth_abs,base_height,tilt,action_abs,torque_abs,reward,speed_ratio,score_tracking
diag_bl_1.5,-1.0606601717798214,1.0606601717798214,0.0,1.5000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.5028539896011353,0.392389178276062,-0.9215131988128026,0.8287621941169103,-0.08592483279450486,0.1391469262043635,0.2318979290003578,0.2774130639930566,0.09163314238190651,1.237631582816442,0.07842647238634527,0.6371199679374695,0.05523270587126414,0.2831857812901338,7.445801000595093,0.05067853085005481,0.8250877218776278,0.5504496909101877
diag_br_1.5,-1.0606601717798214,-1.0606601717798214,0.0,1.5000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.5046064257621765,0.28359347581863403,-0.8991648666063945,-0.788852239449819,-0.0025103835850798836,0.1614952560265859,0.271807882959644,0.32010430400570233,0.07855639273921648,1.193608325322469,0.08493387667307009,0.6279141100247702,0.0638657441114386,0.29398387054602304,7.411294652620952,0.04942115398123861,0.7957388835483126,0.4748184122581348
yaw_l_0.75,0.0,0.0,0.75,0.0,400,100,8.0,2.0,256,0.0,0.0,0.1541767120361328,0.19633710384368896,0.05241577642038465,0.0160271314275451,0.8078898040453593,0.05241577635829647,0.061974253008763,0.08448758681615194,0.07036379082749288,0.0,0.0,0.6547758509715398,0.022685102017906803,0.17519128454228242,5.291785007317861,0.0700799680625399,,0.9074667861745477
yaw_l_1.5,0.0,0.0,1.5,0.0,400,100,8.0,2.0,256,0.0,0.0,0.1515817493200302,0.2473376989364624,0.05069044445025308,-0.0030848162547529984,1.5087827185789744,0.05153920511559894,0.06475888450474789,0.09009501080960035,0.08196755718439817,0.0,0.0,0.6516774505376816,0.02613502520446976,0.19467036192615828,5.510489234924316,0.06715033827659984,,0.8857674120470296
yaw_r_0.75,0.0,0.0,-0.75,0.0,400,100,8.0,2.0,256,0.0,0.0,0.12742123007774353,0.13813114166259766,0.039471740263203776,0.013880177359484757,-0.7632456318537394,0.03947174047430357,0.06666702582966537,0.08172158423811197,0.04072099431728323,0.0,0.0,0.6578326050440471,0.028627548553049564,0.18539752396444478,5.067326390743256,0.07033001707245906,,0.94072466925886
yaw_r_1.5,0.0,0.0,-1.5,0.0,400,100,8.0,2.0,256,0.0,0.0,0.16678212583065033,0.1859912872314453,0.07377439989397923,0.014554860916299124,-1.5177258586883544,0.07377439990639686,0.072257287997442,0.11043049837152163,0.0698633977646629,0.0,0.0,0.659609386920929,0.03217546073875079,0.19064222991466523,5.344250915050506,0.06649788260149458,,0.8780003881383369
fwd1.0_yaw_l0.75,1.0,0.0,0.75,1.0,400,100,8.0,2.0,256,0.0,0.0,0.14594681560993195,0.31608790159225464,0.9160860220591227,0.022086080108905056,0.7019484056035677,0.08391397785395384,0.05337066276697442,0.1049249937136968,0.06978745064077278,0.9160860246419906,0.05337066276697442,0.6310318082571029,0.055062242144097884,0.21402191986640295,7.416778608957927,0.060521858987340235,0.9160860246419906,0.8850617066515849
fwd1.0_yaw_r0.75,1.0,0.0,-0.75,1.0,400,100,8.0,2.0,256,0.0,0.0,0.12997400760650635,0.26411721110343933,0.955085377295812,0.01978702091126858,-0.7122121405601501,0.04512428899606069,0.05787200330911825,0.08052616372704506,0.05263724555571874,0.955085377295812,0.05787200330911825,0.6356860043605169,0.039122500790593526,0.22863654856880505,7.256743845939636,0.06098344051357647,0.955085377295812,0.9315209954203035
left1.0_yaw_l0.75,0.0,1.0,0.75,1.0,400,100,8.0,2.0,256,0.0,0.0,0.4688246250152588,0.23683083057403564,-0.02524406172291492,0.7430223226547241,0.7701166441043218,0.03203077432389061,0.25697767548263073,0.2594911866510908,0.052665911534180244,0.7430223220586777,0.03203077432389061,0.6267901861667633,0.04224362726633747,0.26324433912833534,6.568681352933248,0.05778036288231912,0.7430223220586777,0.6208650765390321
right1.0_yaw_r0.75,0.0,-1.0,-0.75,1.0,400,100,8.0,2.0,256,0.0,0.0,0.47087398171424866,0.29884010553359985,0.010966999637457776,-0.727934827208519,-0.7020419961214066,0.013181241494603455,0.27206517034520705,0.2726010821262995,0.0651490887068212,0.7279348278045654,0.013181241494603455,0.6293340220053991,0.04633955873083323,0.26481275220712025,6.486228545506795,0.057645185732399115,0.7279348278045654,0.5840007350916311
diag_fl1.0_yaw_l0.75,0.7071067811865476,0.7071067811865476,0.75,1.0000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.2699146568775177,0.3546591103076935,0.6492298177878062,0.6092549886306127,0.7271586757898331,0.05790117634770771,0.11301347691565752,0.13149519733463724,0.0871601747473081,0.8898831258217493,0.053928563533506044,0.6277704850832622,0.061590632206449905,0.2538373652100563,7.25924919128418,0.059606548639324804,0.8898831258217491,0.8259325174781338
diag_br1.0_yaw_r0.75,-0.7071067811865476,-0.7071067811865476,-0.75,1.0000000000000002,400,100,8.0,2.0,256,0.0,0.0,0.2724205553531647,0.24712687730789185,-0.6708779774109522,-0.6109459332625071,-0.6888364332914353,0.03682301866045842,0.11423005995651087,0.12262205998723706,0.07172661239902178,0.9063863666852315,0.06150533549798032,0.6367617307106653,0.05374519592771927,0.25899548356731733,6.207041280269623,0.06197538133138247,0.9063863666852313,0.8592561551331467
