"主机名","任务名","下次运行时间","模式","登录状态","上次运行时间","上次结果","创建者","要运行的任务","起始于","注释","计划任务状态","空闲时间","电源管理","作为用户运行","删除没有计划的任务","如果运行了 X 小时 X 分钟，停止任务","计划","计划类型","开始时间","开始日期","结束日期","天","月","重复: 每","重复: 截止: 时间","重复: 截止: 持续时间","重复: 如果还在运行，停止"
"DESKTOP-MBKP1TH","\NVIDIA App SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","N/A","就绪","交互方式/后台方式","1999/11/30 0:00:00","267011","NVIDIA Corporation",""C:\Program Files\NVIDIA Corporation\NVIDIA App\CEF\NVIDIA App.exe" ","C:\Program Files\NVIDIA Corporation\NVIDIA App","N/A","已启用","已禁用","","Users","已禁用","72:00:00","计划数据在此格式中不可用。","当事件发生时","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-MBKP1TH","\OneDrive Reporting Task-S-1-5-21-2880168200-1570382594-791421319-1001","2026/5/11 15:19:21","就绪","只使用交互方式","2025/11/7 15:19:22","0","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting","N/A","N/A","已启用","已禁用","在电池模式停止","XW","已禁用","02:00:00","计划数据在此格式中不可用。","一次性, 每小时 ","15:19:21","2025/11/6","N/A","N/A","N/A","24 小时， 0 分钟","无","已禁用","已禁用"
"DESKTOP-MBKP1TH","\OneDrive Reporting Task-S-1-5-21-2880168200-1570382594-791421319-500","2026/5/11 17:00:53","就绪","只使用交互方式","2026/5/10 17:00:54","0","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe /reporting","N/A","N/A","已启用","已禁用","在电池模式停止","Administrator","已禁用","02:00:00","计划数据在此格式中不可用。","一次性, 每小时 ","17:00:53","2025/11/6","N/A","N/A","N/A","24 小时， 0 分钟","无","已禁用","已禁用"
"DESKTOP-MBKP1TH","\OneDrive Standalone Update Task-S-1-5-21-2880168200-1570382594-791421319-1001","2026/5/11 14:25:15","就绪","只使用交互方式","1999/11/30 0:00:00","267011","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe ","N/A","N/A","已启用","已禁用","在电池模式停止","XW","已禁用","24:00:00","计划数据在此格式中不可用。","一次性, 每小时 ","14:00:00","1992/5/1","N/A","N/A","N/A","24 小时， 0 分钟","无","已禁用","已禁用"
"DESKTOP-MBKP1TH","\OneDrive Standalone Update Task-S-1-5-21-2880168200-1570382594-791421319-500","2026/5/11 17:37:21","就绪","只使用交互方式","2026/5/10 16:00:08","-2147160519","Microsoft Corporation","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe ","N/A","N/A","已启用","已禁用","在电池模式停止","Administrator","已禁用","24:00:00","计划数据在此格式中不可用。","一次性, 每小时 ","16:00:00","1992/5/1","N/A","N/A","N/A","24 小时， 0 分钟","无","已禁用","已禁用"
"DESKTOP-MBKP1TH","\OneDrive Startup Task-S-1-5-21-2880168200-1570382594-791421319-1001","N/A","就绪","只使用交互方式","2025/11/7 16:07:59","0","Microsoft Corporation","C:\Users\XW\AppData\Local\Microsoft\OneDrive\25.194.1005.0003\OneDriveLauncher.exe /startInstances","N/A","N/A","已启用","已禁用","在电池模式停止","XW","已禁用","02:00:00","计划数据在此格式中不可用。","登陆时","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-MBKP1TH","\OneDrive Startup Task-S-1-5-21-2880168200-1570382594-791421319-500","N/A","就绪","只使用交互方式","2026/5/11 0:55:15","0","Microsoft Corporation","C:\Users\Administrator\AppData\Local\Microsoft\OneDrive\25.194.1005.0003\OneDriveLauncher.exe /startInstances","N/A","N/A","已启用","已禁用","在电池模式停止","Administrator","已禁用","02:00:00","计划数据在此格式中不可用。","登陆时","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DESKTOP-MBKP1TH","\T1AntiSway1000Eval_20260507","N/A","就绪","只使用交互方式","2026/5/7 23:59:00","-1073741510","DESKTOP-MBKP1TH\Administrator","wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_eval_antisway1000.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/7","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1AntiSway1000RandomEval_20260507","N/A","就绪","只使用交互方式","2026/5/7 23:59:00","-1073741510","DESKTOP-MBKP1TH\Administrator","wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_eval_antisway1000_random_only.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/7","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
"DESKTOP-MBKP1TH","\T1AntiSway1000_20260507_1335","N/A","就绪","只使用交互方式","2026/5/7 23:59:00","-1073741510","DESKTOP-MBKP1TH\Administrator","wsl.exe -e bash /mnt/c/Users/Administrator/Documents/dev/official_baselines/booster_gym_official/artifacts/autoresearch/run_antisway1000_schtasks_cuda.sh","N/A","N/A","已启用","已禁用","在电池模式停止, 不用电池启动","Administrator","已禁用","72:00:00","计划数据在此格式中不可用。","一次性","23:59:00","2026/5/7","N/A","N/A","N/A","已禁用","已禁用","已禁用","已禁用"
