"Timestamp","NvidiaTimestamp","GpuUtilPct","MemUsedMiB","MemTotalMiB","PowerW","TempC"
"2026-05-10T20:36:12.4220136+08:00","2026/05/10 20:36:12.422","62","17134","24564","149.68","57"
"2026-05-10T20:36:18.2045181+08:00","2026/05/10 20:36:18.204","66","17134","24564","151.59","58"
"2026-05-10T20:36:23.8672567+08:00","2026/05/10 20:36:23.867","63","17134","24564","188.54","58"
"2026-05-10T20:36:29.6286723+08:00","2026/05/10 20:36:29.625","65","17134","24564","151.92","58"
"2026-05-10T20:36:35.7884091+08:00","2026/05/10 20:36:35.778","5","17134","24564","85.55","55"
"2026-05-10T20:36:41.7065896+08:00","2026/05/10 20:36:41.706","10","17134","24564","22.67","51"
"2026-05-10T20:36:47.4891043+08:00","2026/05/10 20:36:47.475","10","17134","24564","20.95","50"
"2026-05-10T20:36:53.3073643+08:00","2026/05/10 20:36:53.307","10","17134","24564","20.51","48"
"2026-05-10T20:36:59.1760440+08:00","2026/05/10 20:36:59.124","10","17134","24564","19.91","47"
"2026-05-10T20:37:04.9603818+08:00","2026/05/10 20:37:04.953","66","17134","24564","120.55","51"
"2026-05-10T20:37:10.6867782+08:00","2026/05/10 20:37:10.679","57","17134","24564","149.14","52"
"2026-05-10T20:37:16.4111358+08:00","2026/05/10 20:37:16.402","55","17134","24564","150.96","54"
"2026-05-10T20:37:22.1409261+08:00","2026/05/10 20:37:22.135","63","17134","24564","148.07","56"
"2026-05-10T20:37:27.8360155+08:00","2026/05/10 20:37:27.835","51","17134","24564","149.81","57"
"2026-05-10T20:37:33.5193485+08:00","2026/05/10 20:37:33.516","62","17134","24564","149.61","57"
"2026-05-10T20:37:39.6990873+08:00","2026/05/10 20:37:39.693","63","17134","24564","152.17","58"
"2026-05-10T20:37:45.4067491+08:00","2026/05/10 20:37:45.406","34","17134","24564","154.63","60"
"2026-05-10T20:37:51.1215976+08:00","2026/05/10 20:37:51.120","55","17134","24564","206.02","65"
"2026-05-10T20:37:56.9879759+08:00","2026/05/10 20:37:56.985","63","17134","24564","154.71","60"
"2026-05-10T20:38:02.6838074+08:00","2026/05/10 20:38:02.679","45","17134","24564","151.23","59"
"2026-05-10T20:38:08.5347915+08:00","2026/05/10 20:38:08.527","82","17134","24564","245.48","60"
"2026-05-10T20:38:14.2790561+08:00","2026/05/10 20:38:14.279","37","17134","24564","155.39","59"
"2026-05-10T20:38:19.9634580+08:00","2026/05/10 20:38:19.963","62","17134","24564","153.79","59"
"2026-05-10T20:38:27.1615765+08:00","2026/05/10 20:38:27.161","60","17134","24564","146.8","59"
"2026-05-10T20:38:33.0130278+08:00","2026/05/10 20:38:33.013","89","17134","24564","200.71","63"
