"Timestamp","Pid","ProcessName","GpuEngine","UtilizationPct","ExecutablePath","CommandLine"
"2026-05-10T19:54:00.5746898+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:54:06.6413834+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:55:40.5635168+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:55:51.6863440+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:56:08.5822301+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T19:57:03.4524448+08:00","28400","dwm.exe","pid_28400_luid_0x00000000_0x00017AD2_phys_0_eng_0_engtype_3D","12","C:\Windows\system32\dwm.exe","""dwm.exe"""
"2026-05-10T19:58:53.6645183+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T20:01:00.6423907+08:00","247440","WUDFHost.exe","pid_247440_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","1","C:\Windows\System32\WUDFHost.exe","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-edb907c1-dab0-4d4d-823b-790b10f4cd82 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-65ff2424-30c5-4898-821a-5bff5c2c9e8f -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-9dd2e13f-5bc1-4d29-a6ac-cac8c3ec6f06 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-8364a469-d28d-45c1-bbb2-aebcb14b5cb7 -LifetimeId:91ec5f02-9f58-4d48-b244-ab64145626bf -DeviceGroupId: -HostArg:16"
"2026-05-10T20:01:33.9657591+08:00","28400","dwm.exe","pid_28400_luid_0x00000000_0x00017AD2_phys_0_eng_0_engtype_3D","5","C:\Windows\system32\dwm.exe","""dwm.exe"""
"2026-05-10T20:03:08.0784618+08:00","4","System","pid_4_luid_0x00000000_0x00017C40_phys_0_eng_3_engtype_Copy","13",,
"2026-05-10T20:03:36.6486436+08:00","257960","vmwp.exe","pid_257960_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","388","C:\Windows\System32\vmwp.exe","""C:\Windows\System32\vmwp.exe"" 1FCE8CD2-A4F3-492A-BF3A-83E182C6AD50 0x3b4"
"2026-05-10T20:03:42.6314871+08:00","257960","vmwp.exe","pid_257960_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","378","C:\Windows\System32\vmwp.exe","""C:\Windows\System32\vmwp.exe"" 1FCE8CD2-A4F3-492A-BF3A-83E182C6AD50 0x3b4"
"2026-05-10T20:03:48.6832157+08:00","257960","vmwp.exe","pid_257960_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","365","C:\Windows\System32\vmwp.exe","""C:\Windows\System32\vmwp.exe"" 1FCE8CD2-A4F3-492A-BF3A-83E182C6AD50 0x3b4"
"2026-05-10T20:03:54.7230895+08:00","257960","vmwp.exe","pid_257960_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","366","C:\Windows\System32\vmwp.exe","""C:\Windows\System32\vmwp.exe"" 1FCE8CD2-A4F3-492A-BF3A-83E182C6AD50 0x3b4"
"2026-05-10T20:04:00.8810409+08:00","257960","vmwp.exe","pid_257960_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","23","C:\Windows\System32\vmwp.exe","""C:\Windows\System32\vmwp.exe"" 1FCE8CD2-A4F3-492A-BF3A-83E182C6AD50 0x3b4"
"2026-05-10T20:04:12.7930387+08:00","257960","vmwp.exe","pid_257960_luid_0x00000000_0x00017C40_phys_0_eng_0_engtype_3D","373","C:\Windows\System32\vmwp.exe","""C:\Windows\System32\vmwp.exe"" 1FCE8CD2-A4F3-492A-BF3A-83E182C6AD50 0x3b4"
